epoch,step,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,0.0166015625,4.488663196563721,,,
0,19,0.0185546875,4.401874542236328,,,
0,29,0.029296875,4.377505302429199,,,
0,39,0.0302734375,4.341311931610107,,,
0,48,,,0.02459999918937683,0.02459999918937683,4.334895133972168
1,49,0.0244140625,4.291497707366943,,,
1,59,0.037109375,4.268119812011719,,,
1,69,0.0439453125,4.2386651039123535,,,
1,79,0.0546875,4.198665142059326,,,
1,89,0.03515625,4.196896076202393,,,
1,97,,,0.04280000180006027,0.04280000180006027,4.122696876525879
2,99,0.0341796875,4.165271759033203,,,
2,109,0.0439453125,4.156160831451416,,,
2,119,0.0615234375,4.126016139984131,,,
2,129,0.0390625,4.105636119842529,,,
2,139,0.052734375,4.13262414932251,,,
2,146,,,0.04580000042915344,0.04580000042915344,4.1022419929504395
3,149,0.0478515625,4.136649131774902,,,
3,159,0.0556640625,4.0545854568481445,,,
3,169,0.0615234375,4.041090965270996,,,
3,179,0.046875,4.071371555328369,,,
3,189,0.0576171875,4.073325157165527,,,
3,195,,,0.0697999969124794,0.0697999969124794,3.954643964767456
4,199,0.0712890625,4.007090091705322,,,
4,209,0.0654296875,4.001656532287598,,,
4,219,0.068359375,3.976668357849121,,,
4,229,0.0654296875,4.019420623779297,,,
4,239,0.0830078125,3.929762601852417,,,
4,244,,,0.08479999750852585,0.08479999750852585,3.853344678878784
5,249,0.0615234375,3.8940727710723877,,,
5,259,0.0712890625,3.956038236618042,,,
5,269,0.078125,3.9420793056488037,,,
5,279,0.080078125,3.899895668029785,,,
5,289,0.0810546875,3.901333808898926,,,
5,293,,,0.09059999883174896,0.09059999883174896,3.814422607421875
6,299,0.0986328125,3.8534936904907227,,,
6,309,0.08203125,3.8769428730010986,,,
6,319,0.10546875,3.8612747192382812,,,
6,329,0.0859375,3.849869966506958,,,
6,339,0.099609375,3.8471338748931885,,,
6,342,,,0.09139999747276306,0.09139999747276306,3.82637095451355
7,349,0.0732421875,3.9232897758483887,,,
7,359,0.0908203125,3.883267641067505,,,
7,369,0.0986328125,3.8134400844573975,,,
7,379,0.1025390625,3.787659168243408,,,
7,389,0.095703125,3.7972397804260254,,,
7,391,,,0.0982000008225441,0.0982000008225441,3.757373332977295
8,399,0.1025390625,3.7710330486297607,,,
8,409,0.1064453125,3.734609603881836,,,
8,419,0.111328125,3.7210512161254883,,,
8,429,0.1005859375,3.8116068840026855,,,
8,439,0.111328125,3.7643485069274902,,,
8,440,,,0.11060000211000443,0.11060000211000443,3.759185791015625
9,449,0.1142578125,3.7147786617279053,,,
9,459,0.1171875,3.739266872406006,,,
9,469,0.11328125,3.703730344772339,,,
9,479,0.12109375,3.694256067276001,,,
9,489,0.1108490601181984,3.6902871131896973,,,
9,489,,,0.12120000272989273,0.12120000272989273,3.6363377571105957
10,499,0.1240234375,3.684265613555908,,,
10,509,0.134765625,3.6707727909088135,,,
10,519,0.107421875,3.780190944671631,,,
10,529,0.109375,3.702540159225464,,,
10,538,,,0.1324000060558319,0.1324000060558319,3.5368075370788574
11,539,0.1103515625,3.737212896347046,,,
11,549,0.12890625,3.623234510421753,,,
11,559,0.1279296875,3.7051937580108643,,,
11,569,0.126953125,3.6407434940338135,,,
11,579,0.095703125,3.702857494354248,,,
11,587,,,0.1324000060558319,0.12280000001192093,3.7217955589294434
12,589,0.142578125,3.64711332321167,,,
12,599,0.146484375,3.624879837036133,,,
12,609,0.130859375,3.598440408706665,,,
12,619,0.134765625,3.57137131690979,,,
12,629,0.138671875,3.608621597290039,,,
12,636,,,0.13539999723434448,0.13539999723434448,3.5609278678894043
